fact_date,cartera_key,cartera_name,assignees,assign,status,estimated_mrc_value,estimated_otc_value,estimated_trx_value,country,type,opportunity_type,vertical,priority,space_id,space_name,cliente,cartera_closing_date,cartera_closing_estimated_date,cartera_created_date,cartera_due_date,cartera_start_date
5/31/2025,868dkvjf3,BANCO ECONOMICO SMART WI FI,"[""Laura Saucedo"", ""Windsor E.""]",Laura Saucedo,Lead Calificado,2000,500,,Bolivia,Indirecta,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,BANCO ECONOMICO,,,4/21/2025,5/19/2025,5/19/2025
5/31/2025,868dkvhka,PIL  CAMARAS IA,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868dkvh63,ITACAMBA CAMARAS IA,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868e8jzpb,IDEPRO | OMNICHANNEL,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,8000,15000,3000,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,IDEPRO,,,6/6/2025,,
5/31/2025,868e8jzmk,BCP | CELFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,,100000,,Bolivia,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,BCP,,,6/6/2025,,
5/31/2025,868e8m5w5,SOFIA POC KOKO,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,,3000,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,SOFIA,,,6/6/2025,,
5/31/2025,868e8m4hj,SOFIA NUEVA LICENCIA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,1777,,,Bolivia,Directa,Upsell,Digitalización & IA,,90113131698,Negocios,SOFIA,6/6/2025,6/6/2025,6/6/2025,,
5/31/2025,868dfam2h,LOS SENDEROS - SMART WIFI,[],,Discovery,,,,El Salvador,Indirecta,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868df9rkn,UNIFRANZ - Smart Wifi SCZ,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,2604,13522,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,,90113131698,Negocios,UNIFRANZ,,8/31/2025,4/10/2025,,
5/31/2025,868cv8auq,FAIR PLAY ENVIOS PRUEBA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,0,4135,4135,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,FAIR PLAY,5/30/2025,,2/28/2025,6/27/2025,
5/31/2025,868cv791d,MIXO (CAMBIO  BOT),"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,7000,17000,,Bolivia,Directa,Upsell,Digitalización & IA,Normal,90113131698,Negocios,AIDISA,,,2/28/2025,2/11/2025,
5/31/2025,868cv706b,TIGO B2B (CHRISTIAN),"[""Laura Saucedo""]",Laura Saucedo,Negociacion,18467,40000,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,5/15/2025,2/28/2025,3/6/2025,
5/31/2025,868df98g9,AL FORNO - Smart WiFi,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Indirecta,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868cv598k,SINTESIS EPSAS,"[""Luis Nemtala""]",Luis Nemtala,Lead Calificado,0,0,8000,Bolivia,,Upsell,Digitalización & IA,,90113131698,Negocios,SINTESIS,,,2/28/2025,2/3/2025,
5/31/2025,868cuuh9v,SOFIA INTEGRACION,"[""Laura Saucedo""]",Laura Saucedo,Negociacion,0,14000,,Bolivia,Directa,Upsell,Digitalización & IA,High,90113131698,Negocios,SOFIA,,5/14/2025,2/27/2025,,
5/31/2025,868df985p,BANCO INDUSTRIAL - HONDURAS,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,Directa,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868df7p7c,BANCO AGRICOLA - SMART WIFI,[],,Discovery,,,,El Salvador,Indirecta,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868det183,AXS FEXCO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,38700,,,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,AXS,,,4/9/2025,,
5/31/2025,868det13a,TIGO LICITACIÓN B2B,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,8000,10000,5000,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,5/29/2025,4/9/2025,5/30/2025,5/12/2025
5/31/2025,868daa7wf,TERBOL CUPONES,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,1800,2500,3000,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TERBOL,,5/9/2025,3/31/2025,,
5/31/2025,868da9qeb,HAKA CÁMARA GACIP,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,1000,17890,,Bolivia,Directa,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,HAKA TECHNOLOGIES,,6/12/2025,3/31/2025,,
5/31/2025,868d3kdb2,BAGO BOT POC,"[""Laura Saucedo""]",Laura Saucedo,Negociacion,13948,19500,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,BAGO,,5/22/2025,3/17/2025,4/28/2025,
5/31/2025,868cvmeqb,LABORATORIOS VITA S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,10557,10500,,Bolivia,Directa,,Digitalización & IA,,90113131698,Negocios,LABORATORIOS VITA,,,2/28/2025,6/2/2025,
5/31/2025,868cv9u0q,TERBOL TOKEN,"[""Laura Saucedo""]",Laura Saucedo,Negociacion,0,10000,,Bolivia,Directa,Cross Sell,Digitalización & IA,Normal,90113131698,Negocios,TERBOL,,5/8/2025,2/28/2025,,
5/31/2025,868cuugtx,NACIONAL SEGUROS,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,5382,9286,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,NACIONAL SEGUROS,,5/12/2025,2/27/2025,4/28/2025,
5/31/2025,868cuug5v,AXS EQUIPAMIENTO,"[""Laura Saucedo""]",Laura Saucedo,Perdido,,50000,,Bolivia,,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,AXS,,4/14/2025,2/27/2025,,
5/31/2025,868dkv5he,SEGUROS MERCANTIL SCZ OMNICANALIDAD,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,10000,,,,,Digitalización & IA,,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868dkv507,BANCO ECOFUTURO CAMPAÑAS,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Propuesta,25609,75075,,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,BANCO ECOFUTURO,,10/31/2025,4/21/2025,,
5/31/2025,868dkuzv6,BANCO BISA  CAMARAAS IA,[],,Discovery,,15000,,,,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868dkuxm7,BANCO MERCANTIL CAMARAS IA,"[""Windsor E."", ""Luis Nemtala""]",Luis Nemtala,Discovery,,15000,,,,,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,5/19/2025,5/19/2025
5/31/2025,868dxxrv1,BANCO UNION | SMART WIFI,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,,,,,90113131698,Negocios,,,,5/13/2025,5/19/2025,
5/31/2025,868dxxkef,SUPER SELECTO - GRUPO CALLEJAS | SMART WIFI,"[""Luis Nemtala"", ""Franz Claure""]",Luis Nemtala,Discovery,,,,,,,,,90113131698,Negocios,,,,5/13/2025,,
