"fact_date","cartera_key","cartera_name","assignees","assign","status","estimated_mrc_value","estimated_otc_value","estimated_trx_value","country","type","opportunity_type","vertical","priority","space_id","space_name","cliente","cartera_closing_date","cartera_closing_estimated_date","cartera_created_date","cartera_due_date","cartera_start_date","state_update_date"
2025-06-01,"868dxxtdn",LOS SENDEROS ESV | SMART WIFI,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,,,,,90113131698,Negocios,,,,2025-05-13,,,2025-05-14
2025-06-01,"868dxxrv1",BANCO UNION | SMART WIFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,,,,,,,,,90113131698,Negocios,,,,2025-05-13,2025-05-19,,2025-05-14
2025-06-01,"868dxxkef",SUPER SELECTO - GRUPO CALLEJAS | SMART WIFI,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,,,,,90113131698,Negocios,,,,2025-05-13,,,2025-05-14
2025-06-01,"868dkvhka",PIL  CAMARAS IA,"[""Laura Saucedo"", ""Windsor E.""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,2025-04-21,,,2025-04-22
2025-06-01,"868dkvh63",ITACAMBA CAMARAS IA,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,2025-04-21,,,2025-04-22
2025-06-01,"868dkvgr5",SOFIA CAMARAS IA,"[""Laura Saucedo"", ""Windsor E.""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,2025-04-21,,,2025-04-22
2025-06-01,"868dkuzv6",BANCO BISA  CAMARAAS IA,"[]",,Discovery,,15000.0,,,,,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-04-21,,,2025-04-22
2025-06-01,"868egct42",CENTRO COMERCIAL AGRISAL,"[""Franz Claure""]",Fernando Claure,Discovery,,,,El Salvador,Indirecta,Cross Sell,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868dkvg3y",BANCO UNION CAMARAS IA,"[""Luis Nemtala"", ""Windsor E.""]",Luis Nemtala,Discovery,5000.0,,,,,,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-04-21,2025-05-19,2025-05-19,2025-04-22
2025-06-01,"868dkv5he",SEGUROS MERCANTIL SCZ OMNICANALIDAD,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,10000.0,,,,,Digitalización & IA,,90113131698,Negocios,,,,2025-04-21,,,2025-04-22
2025-06-01,"868dkvgeq",NESTLE CAMARAS IA,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,2025-04-21,,,2025-04-22
2025-06-01,"868dkuxm7",BANCO MERCANTIL CAMARAS IA,"[""Luis Nemtala"", ""Windsor E.""]",Luis Nemtala,Discovery,,15000.0,,,,,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,2025-04-21,2025-05-19,2025-05-19,2025-04-22
2025-06-01,"868dkuu60",BANCO MERCANTIL SMART WI FI ,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,,,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,2025-04-21,2025-05-10,2025-04-21,2025-04-22
2025-06-01,"868egvxch",WhatsApp Image 2025-06-25 at 10.24.03.jpeg,"[]",,Discovery,,,,,,,,,90113131698,Negocios,,,,2025-06-25,,,2025-06-26
2025-06-01,"868df99r5",SOBOCE - CÁMARAS,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-04-10,,,2025-04-11
2025-06-01,"868df985p",BANCO INDUSTRIAL - HONDURAS,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,Directa,,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-04-10,,,2025-04-11
2025-06-01,"868df7mj1",CEPA - CÁMARAS,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Directa,New Sell,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-04-10,,,2025-04-11
2025-06-01,"868bt5t9m",CAINCO,"[""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,2025-01-07,,,2025-02-28
2025-06-01,"868bt5jk7",FINILAGER,"[""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,FINILAGER,,,2025-01-07,2025-03-07,,2025-02-28
2025-06-01,"868egcrxn",SMART WIFI ISTU,"[""Franz Claure""]",Fernando Claure,Discovery,,,,El Salvador,Indirecta,Upsell,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868ccqump",CINEMARK,"[""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,CINEMARK,,,2025-02-04,2025-03-10,,2025-02-28
2025-06-01,"868ceamk5",TIGO B2C Omnichannel | ESV,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Indirecta,New Sell,Digitalización & IA,,90113131698,Negocios,,,,2025-02-06,,,2025-02-28
2025-06-01,"868ckfwq6",PROMUJER IFD,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,,Digitalización & IA,,90113131698,Negocios,TIGO BO,,,2025-02-13,,,2025-02-28
2025-06-01,"868ckfy3j",DROGUERIA INTI S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,5000.0,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,2025-02-13,,,2025-04-02
2025-06-01,"868e8dwkf",ENTEL ANALITICAS DE VIDEO IA,"[""Yerko Vargas"", ""Windsor E.""]",,Lead Calificado,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,ENTEL,,,2025-06-05,2025-06-30,2025-06-02,2025-06-06
2025-06-01,"868bt5jtb",ECONOMICO,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,5000.0,10000.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,BANCO ECONOMICO,,,2025-01-07,,,2025-02-28
2025-06-01,"868bt5mju",COPELME,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,7000.0,7000.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,COPELME,,2025-07-25,2025-01-07,,,2025-06-12
2025-06-01,"868bt5tvh",BBO,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,5000.0,1000.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,BBO SA,,,2025-01-07,,,2025-04-02
2025-06-01,"868crxtbc",COMPANEX,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Lead Calificado,10000.0,12300.0,2500.0,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,COMPANEX,,,2025-02-24,2025-02-24,,2025-04-02
2025-06-01,"868cv598k",SINTESIS EPSAS,"[""Luis Nemtala""]",Luis Nemtala,Lead Calificado,2000.0,0.0,8000.0,Bolivia,,Upsell,Digitalización & IA,,90113131698,Negocios,SINTESIS,,2025-07-31,2025-02-28,2025-02-03,,2025-02-28
2025-06-01,"868da9qeb",HAKA CÁMARA GACIP,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,1000.0,17890.0,,Bolivia,Directa,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,HAKA TECHNOLOGIES,,2025-06-12,2025-03-31,,,2025-04-02
2025-06-01,"868dkvjf3",BANCO ECONOMICO SMART WI FI,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Lead Calificado,2000.0,500.0,,Bolivia,Indirecta,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,BANCO ECONOMICO,,,2025-04-21,2025-05-19,2025-05-19,2025-06-12
2025-06-01,"868e8jzhq",MULTICINE | NUEVO ZONA SUR,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,2500.0,15000.0,,Bolivia,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,MULTICINE,,,2025-06-06,,,2025-06-07
2025-06-01,"868e8jzja",BCP | OMNICHANNEL,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,8000.0,15000.0,3000.0,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,BCP,,,2025-06-06,,,2025-06-07
2025-06-01,"868eb3kx4",INNOVA SALUD BOT,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,7000.0,15000.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,INNOVA SALUD,,2025-07-18,2025-06-11,,,2025-06-12
2025-06-01,"868eb3m9j",INNOVA SALUDO KOKO,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,4500.0,700.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,INNOVA SALUD,,2025-07-18,2025-06-11,,,2025-06-12
2025-06-01,"868egcr9g",SMART WIFI ALFORNO,"[""Franz Claure""]",Fernando Claure,Lead Calificado,,,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868egcrpk",CONVERSACIONAL AL FORNO,"[""Franz Claure""]",Fernando Claure,Lead Calificado,,,,El Salvador,Indirecta,New Sell,Digitalización & IA,,90113131698,Negocios,,,,2025-06-24,,,2025-06-25
2025-06-01,"868ejddta",NESTLE CUPONES,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,2500.0,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,,,2025-07-24,2025-06-27,,,2025-06-28
2025-06-01,"868ejddzy",ITACAMBA CUPONES,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,2500.0,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,,,,2025-06-27,,,2025-06-28
2025-06-01,"868e8d29v",ENTEL OUTBOUND,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Negociacion,,,1328400.0,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,ENTEL,,2025-07-31,2025-06-05,2025-06-30,2025-04-01,2025-06-06
2025-06-01,"868cv706b",TIGO B2B (CHRISTIAN),"[""Laura Saucedo""]",Laura Saucedo,Negociacion,18467.0,40000.0,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,2025-05-15,2025-02-28,2025-03-06,,2025-04-25
2025-06-01,"868cvmeqb",LABORATORIOS VITA S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,10557.0,10500.0,,Bolivia,Directa,,Digitalización & IA,,90113131698,Negocios,LABORATORIOS VITA,,2025-07-31,2025-02-28,2025-06-02,,2025-04-02
2025-06-01,"868cuuh9v",SOFIA INTEGRACION,"[""Laura Saucedo""]",Laura Saucedo,Negociacion,0.0,14000.0,,Bolivia,Directa,Upsell,Digitalización & IA,High,90113131698,Negocios,SOFIA,,2025-05-14,2025-02-27,,,2025-04-02
2025-06-01,"868d3kdb2",BAGO BOT POC,"[""Laura Saucedo""]",Laura Saucedo,Negociacion,13948.0,19500.0,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,BAGO,,2025-05-22,2025-03-17,2025-04-28,,2025-04-25
2025-06-01,"868d9zw3r",SMS A2P TIGO BUSINESS,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,4000.0,14000.0,20000.0,Bolivia,,,Digitalización & IA,,90113131698,Negocios,,,2025-07-31,2025-03-31,2025-07-01,,2025-05-08
